period,community_id,nb_actors,nb_films,top_genres
1990_1999,0,135,247,"Drama, Action, Thriller"
1990_1999,1,790,1779,"Drama, Comedy, Thriller"
1990_1999,2,337,925,"Drama, Comedy, Thriller"
1990_1999,3,201,605,"Drama, Comedy, Thriller"
1990_1999,4,242,520,"Drama, Thriller, Comedy"
1990_1999,5,455,1029,"Comedy, Drama, Action"
1990_1999,6,244,392,"Drama, Action, Thriller"
1990_1999,7,380,975,"Drama, Comedy, Thriller"
1990_1999,8,265,518,"Drama, Thriller, Comedy"
1990_1999,9,345,926,"Drama, Comedy, Thriller"
1990_1999,10,615,1036,"Drama, Action, Thriller"
1990_1999,11,179,312,"Drama, Thriller, Comedy"
1990_1999,12,261,722,"Comedy, Drama, Thriller"
1990_1999,13,169,333,"Action, Drama, Thriller"
1990_1999,14,404,1118,"Comedy, Drama, Action"
1990_1999,15,156,416,"Drama, Comedy, Thriller"
1990_1999,16,415,867,"Drama, Action, Thriller"
1990_1999,17,292,785,"Drama, Comedy, Action"
1990_1999,18,230,488,"Drama, Comedy, Crime"
1990_1999,19,116,216,"Comedy, Drama, Action"
1990_1999,20,234,289,"Drama, Comedy, Action"
1990_1999,21,296,582,"Comedy, Drama, Thriller"
1990_1999,22,229,523,"Drama, Comedy, Thriller"
1990_1999,28,395,975,"Drama, Comedy, Action"
1990_1999,24,115,230,"Drama, Comedy, Romance"
1990_1999,25,164,444,"Drama, Comedy, Thriller"
1990_1999,26,155,414,"Drama, Comedy, Thriller"
1990_1999,27,207,461,"Drama, Comedy, Thriller"
1990_1999,29,82,152,"Comedy, Drama, Action"
1990_1999,30,121,191,"Drama, Comedy, Thriller"
1990_1999,31,368,608,"Comedy, Drama, Action"
1990_1999,32,146,208,"Comedy, Drama, Action"
1990_1999,33,277,822,"Comedy, Drama, Thriller"
1990_1999,34,176,259,"Comedy, Drama, Action"
1990_1999,35,284,830,"Drama, Comedy, Thriller"
1990_1999,36,133,259,"Action, Comedy, Drama"
1990_1999,37,99,132,"Comedy, Drama, Romance"
1990_1999,38,128,245,"Comedy, Drama, Romance"
1990_1999,39,150,390,"Drama, Comedy, Thriller"
1990_1999,40,379,793,"Drama, Comedy, Thriller"
1990_1999,23,90,207,"Drama, Thriller, Action"
2000_2009,32,254,314,"Drama, Thriller, Action"
2000_2009,1,247,458,"Drama, Comedy, Action"
2000_2009,30,422,816,"Drama, Comedy, Action"
2000_2009,10,2582,1743,"Drama, Comedy, Action"
2000_2009,4,998,1452,"Drama, Comedy, Thriller"
2000_2009,41,772,1126,"Drama, Comedy, Thriller"
2000_2009,6,907,1023,"Drama, Comedy, Thriller"
2000_2009,7,812,1079,"Drama, Action, Thriller"
2000_2009,8,400,789,"Drama, Comedy, Thriller"
2000_2009,9,543,753,"Comedy, Drama, Action"
2000_2009,11,507,749,"Drama, Thriller, Action"
2000_2009,42,2183,2311,"Comedy, Drama, Thriller"
2000_2009,0,301,431,"Drama, Thriller, Comedy"
2000_2009,3,628,888,"Drama, Comedy, Thriller"
2000_2009,15,366,458,"Comedy, Drama, Thriller"
2000_2009,37,505,920,"Drama, Thriller, Comedy"
2000_2009,40,425,889,"Drama, Comedy, Action"
2000_2009,16,680,466,"Drama, Thriller, Action"
2000_2009,19,416,217,"Drama, Thriller, Action"
2000_2009,25,375,523,"Drama, Comedy, Action"
2000_2009,34,279,427,"Drama, Comedy, Thriller"
2000_2009,22,1374,1544,"Drama, Comedy, Thriller"
2000_2009,5,385,634,"Drama, Comedy, Thriller"
2000_2009,20,245,402,"Drama, Comedy, Thriller"
2000_2009,36,141,226,"Comedy, Drama, Thriller"
2000_2009,26,129,94,"Drama, Thriller, Action"
2000_2009,28,272,212,"Drama, Action, Thriller"
2000_2009,29,583,1031,"Comedy, Drama, Action"
2000_2009,23,682,1016,"Drama, Comedy, Thriller"
2000_2009,44,587,983,"Comedy, Drama, Action"
2000_2009,24,341,397,"Action, Drama, Thriller"
2000_2009,33,644,874,"Drama, Comedy, Thriller"
2000_2009,38,281,175,"Drama, Action, Thriller"
2000_2009,46,440,333,"Action, Drama, Thriller"
2000_2009,45,166,245,"Drama, Action, Thriller"
2000_2009,47,778,1306,"Comedy, Drama, Action"
2000_2009,14,642,955,"Drama, Comedy, Thriller"
2000_2009,18,141,43,"Action, Drama, Adventure"
2000_2009,2,150,276,"Drama, Comedy, Thriller"
2000_2009,13,211,284,"Comedy, Drama, Thriller"
2000_2009,27,166,210,"Comedy, Drama, Romance"
2000_2009,31,189,80,"Drama, Romance, Action"
2000_2009,17,137,259,"Comedy, Drama, Action"
2000_2009,12,89,86,"Drama, Comedy, Action"
2000_2009,21,116,132,"Drama, Comedy, Romance"
2000_2009,35,32,11,"Thriller, Action, Fantasy"
2000_2009,39,26,7,"Animation, Family, Comedy"
2000_2009,43,50,5,"Romance, Drama, Crime"
2010_2019,0,315,306,"Drama, Thriller, Action"
2010_2019,50,1305,1525,"Drama, Comedy, Thriller"
2010_2019,2,406,616,"Drama, Comedy, Thriller"
2010_2019,3,2072,1651,"Drama, Comedy, Action"
2010_2019,4,373,331,"Drama, Comedy, Thriller"
2010_2019,5,709,1203,"Drama, Comedy, Thriller"
2010_2019,6,227,214,"Drama, Comedy, Action"
2010_2019,7,561,753,"Drama, Comedy, Action"
2010_2019,11,1405,1934,"Comedy, Drama, Action"
2010_2019,12,226,253,"Comedy, Drama, Action"
2010_2019,13,751,1169,"Drama, Comedy, Thriller"
2010_2019,14,1034,1288,"Drama, Comedy, Thriller"
2010_2019,18,805,1035,"Drama, Thriller, Comedy"
2010_2019,33,774,1090,"Drama, Comedy, Thriller"
2010_2019,31,493,385,"Drama, Comedy, Action"
2010_2019,48,285,465,"Drama, Comedy, Thriller"
2010_2019,30,499,682,"Drama, Comedy, Thriller"
2010_2019,20,524,980,"Comedy, Drama, Thriller"
2010_2019,22,348,386,"Drama, Comedy, Thriller"
2010_2019,40,351,415,"Drama, Thriller, Action"
2010_2019,17,735,926,"Drama, Comedy, Thriller"
2010_2019,10,613,1098,"Comedy, Drama, Action"
2010_2019,27,675,797,"Drama, Action, Thriller"
2010_2019,28,524,698,"Drama, Comedy, Thriller"
2010_2019,29,232,290,"Drama, Thriller, Action"
2010_2019,44,170,274,"Drama, Comedy, Thriller"
2010_2019,32,726,1281,"Comedy, Drama, Thriller"
2010_2019,16,438,683,"Comedy, Drama, Thriller"
2010_2019,35,430,605,"Drama, Comedy, Action"
2010_2019,36,130,53,"Comedy, Drama, Family"
2010_2019,37,172,106,"Drama, Comedy, Thriller"
2010_2019,23,298,427,"Drama, Thriller, Action"
2010_2019,39,181,333,"Comedy, Drama, Action"
2010_2019,42,278,321,"Drama, Comedy, Thriller"
2010_2019,9,97,80,"Drama, Thriller, Adventure"
2010_2019,19,475,536,"Drama, Action, Thriller"
2010_2019,25,403,628,"Drama, Comedy, Thriller"
2010_2019,21,250,172,"Drama, Action, Thriller"
2010_2019,47,290,271,"Drama, Action, Thriller"
2010_2019,49,320,303,"Comedy, Drama, Romance"
2010_2019,1,517,662,"Comedy, Drama, Action"
2010_2019,8,99,17,"Drama, Action, Crime"
2010_2019,15,119,164,"Comedy, Drama, Action"
2010_2019,24,124,70,"Action, Drama, Comedy"
2010_2019,46,165,121,"Drama, Comedy, Thriller"
2010_2019,41,186,84,"Drama, Thriller, Romance"
2010_2019,26,51,20,"Comedy, Action, Drama"
2010_2019,34,64,16,"Drama, Romance, Comedy"
2010_2019,38,52,24,"Drama, Comedy, Action"
2010_2019,43,23,11,"Drama, Thriller, Mystery"
2010_2019,45,20,4,"Science Fiction, Action, Horror"
